Protocol,Category,Headcount,Annual_Expenses,Annual_Revenue,TVL,Rev/Head,Margin_(%),Rev_Per_Employee,Operating_Margin,Revenue_per_TVL,Burn_Phase,TVL_live,Category_live,Health_Score_v2,Efficiency_Cluster,Cluster_Name,Implied_FDV_Low,Implied_FDV_High
Sky Lending,Lending,97,27660000.0,300000000.0,6000000000.0,$3.09M,90.80%,3092783.505154639,0.9078,0.05,False,7096684698.601727,CDP,46.965022788931094,0,Lean Automators,704475341.8339664,1690740820.4015193
Aave,Lending,25,18070000.0,200000000.0,20000000000.0,$8.00M,91.00%,8000000.0,0.90965,0.01,False,,,68.14292105263158,0,Lean Automators,681429210.5263158,1635430105.2631578
Lido,Liquid Staking,83,16810000.0,80000000.0,30000000000.0,$0.96M,79.00%,963855.421686747,0.789875,0.0026666666666666666,False,19915604272.045677,Liquid Staking,28.74310605580216,3,Revenue Beasts,114972424.22320864,275933818.1357007
Uniswap,DEX,120,45000000.0,800000000.0,5000000000.0,$6.67M,94.40%,6666666.666666667,0.94375,0.16,False,,,75.3005701754386,0,Lean Automators,3012022807.017544,7228854736.842105
PancakeSwap,DEX,45,12000000.0,150000000.0,2000000000.0,$3.33M,92.00%,3333333.3333333335,0.92,0.075,False,,,50.66732456140352,0,Lean Automators,380004934.21052635,912011842.1052632
Curve,DEX,20,5000000.0,7000000.0,2000000000.0,$0.35M,28.60%,350000.0,0.2857142857142857,0.0035,False,,,10.620125939849622,3,Revenue Beasts,3717044.0789473676,8920905.789473683
Morpho,Lending,25,6000000.0,0.0,4000000000.0,$0,-100%,0.0,,0.0,True,,,1.0,3,Revenue Beasts,0.0,0.0
Maple,Lending,15,8540000.0,13880000.0,107000000.0,$0.93M,38.50%,925333.3333333334,0.38472622478386165,0.1297196261682243,False,2279304025.06289,Lending,27.238999401328606,1,High Burn,18903865.584522054,45369277.40285293
Sushi,DEX,15,5220000.0,12000000.0,450000000.0,$0.80M,56.50%,800000.0,0.565,0.02666666666666667,False,,,23.22578947368421,3,Revenue Beasts,13935473.684210524,33445136.84210526
Badger DAO,Yield,15,4170000.0,2500000.0,180000000.0,$0.17M,-66.80%,166666.66666666666,-0.668,0.013888888888888888,True,8628530.648395628,Yield Aggregator,2.0186403508771926,3,Revenue Beasts,252330.04385964907,605592.1052631577
